title,genre,duration_min,release_year,rating
Center your,Horror,161.05,2003,2.0
Chair every anything,Thriller,133.65,1983,3.9
Attorney,Documentary,170.62,2017,2.6
Effort sell result,Documentary,46.93,2022,2.4
Break investment garden,Action,79.75,1982,3.5
Wish day,Sci-Fi,104.66,1985,2.2
Development when,Comedy,130.9,2003,2.1
Others edge tough three,Thriller,107.63,1981,3.8
Both,Action,74.72,1994,2.9
Your meet key minute,Sci-Fi,158.3,2015,4.4
Other purpose perhaps,Documentary,127.98,2011,4.7
Job hand,Sci-Fi,65.17,2022,2.6
Professional,Romance,104.32,1980,2.0
Board wrong,Sci-Fi,116.23,1996,3.5
President his forward,Drama,168.87,2002,4.2
Guy player friend,Action,34.54,2003,2.7
Blue,Drama,147.71,2019,2.7
Also tend city,Thriller,154.77,2011,4.2
Unit affect,Horror,107.59,2013,4.8
Impact outside ever,Horror,107.49,2001,2.7
Father,Thriller,124.53,2005,3.4
Foreign writer pattern,Action,155.82,2013,2.8
There some,Horror,166.89,2001,4.7
Employee mean,Romance,41.57,2024,4.6
Big citizen,Horror,107.56,1997,2.3
Never friend number,Romance,112.75,1982,3.7
Scientist no,Drama,69.54,2017,4.3
Again son film,Documentary,165.71,1987,2.5
Right election,Sci-Fi,35.75,2007,2.9
Medical check along call,Action,66.15,1984,3.3
Hit voice,Drama,39.09,2023,4.4
Project plant,Action,71.87,1995,3.6
Score true blue officer,Horror,179.42,2002,3.2
Option,Romance,147.55,1993,3.5
First common stuff,Sci-Fi,137.48,1996,3.6
Build himself beyond,Comedy,90.13,2007,3.2
Company blue,Thriller,127.54,1991,3.5
Him agree,Romance,127.06,1994,3.6
Also present,Romance,136.54,2000,3.8
Admit carry thus,Romance,45.88,1983,4.3
Information there which,Action,33.5,2003,4.7
Your mind ability,Sci-Fi,79.93,2017,2.8
Throughout represent at,Drama,151.01,1986,4.4
Stay bar,Sci-Fi,164.22,2016,3.4
Recognize parent daughter,Documentary,178.07,1995,3.7
Up group carry,Drama,148.73,2019,3.8
Far sell both against,Horror,130.99,1986,4.5
Radio officer measure,Comedy,22.05,2001,4.4
International analysis,Thriller,48.43,1991,4.6
Since real environmental,Horror,101.06,1996,4.7
Among despite,Action,174.55,1994,3.9
Thousand government,Drama,38.46,1996,3.3
Hot participant create,Drama,42.78,1986,4.3
Even career,Action,59.81,1996,3.7
Stage north here,Comedy,113.66,2019,4.7
Cold various fire,Comedy,140.71,2013,4.1
Apply nearly growth,Sci-Fi,146.75,1980,4.6
Since inside,Action,66.54,2016,2.3
Minute concern note power,Drama,166.16,2023,3.8
Option protect star,Thriller,70.66,1995,2.8
Financial,Drama,156.0,2012,2.2
Reason though pressure,Thriller,142.89,1986,3.9
Player option although,Horror,176.54,1987,2.2
By team,Action,21.81,2025,2.8
Cell whose themselves move,Drama,136.27,1996,2.8
Participant to air,Documentary,53.0,2015,4.7
Myself say church,Comedy,119.51,1986,4.5
With magazine,Romance,132.27,2009,4.0
Data enough look,Comedy,109.49,1997,2.6
Field share eat,Documentary,131.95,1991,2.7
Way toward scene yes,Action,94.89,1985,3.3
Person crime,Sci-Fi,92.27,1995,4.7
Current forward machine,Thriller,95.78,1989,3.2
Be account sea,Thriller,177.32,2012,4.7
Forward million,Romance,171.43,1996,4.7
Country generation successful,Comedy,70.29,1983,2.7
Author tree ask free,Drama,158.04,2025,3.4
Remain opportunity world,Action,86.29,1984,4.5
Situation keep person,Comedy,168.47,2009,4.3
Different something,Sci-Fi,46.18,2001,2.9
Huge herself fear,Horror,59.04,1986,2.8
Book large,Thriller,55.84,2001,2.2
Race citizen,Horror,166.68,2013,3.4
Protect wall lead,Horror,54.66,2006,3.7
Meeting side affect,Thriller,66.26,2022,2.3
Beautiful service sell,Horror,111.81,2014,3.5
Leave former upon,Sci-Fi,117.11,1986,2.9
True year author,Drama,88.13,2014,4.2
Everyone risk establish,Thriller,121.11,2008,3.6
Measure,Action,147.05,1996,4.2
Part capital once,Sci-Fi,83.08,2008,3.6
Imagine smile plan position,Thriller,50.28,1992,4.1
Coach,Documentary,171.53,2003,2.8
Perhaps,Comedy,169.77,1993,2.5
Especially center as,Comedy,128.47,2019,3.3
Positive hard,Documentary,80.62,2016,2.9
If treat,Horror,25.33,2005,4.6
